timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
133178.86778262502, -0.907958984375, -0.0583038330078125, -0.42401123046875, -0.18583405017852783, -0.6843360066413879, -0.07845086604356766
133178.87784562501, -0.9084625244140625, -0.056243896484375, -0.42626953125, -0.1285981833934784, -0.6980525851249695, -0.07333014160394669
133178.887908625, -0.9037017822265625, -0.057586669921875, -0.417633056640625, -0.08559293299913406, -0.7014955282211304, -0.06029316782951355
133178.897971625, -0.896026611328125, -0.056640625, -0.406951904296875, -0.05302753299474716, -0.6605901718139648, -0.0374339260160923
133178.908034625, -0.8985137939453125, -0.0546112060546875, -0.3941497802734375, -0.03820464387536049, -0.6132756471633911, -0.022044049575924873
133178.91809762502, -0.910125732421875, -0.053009033203125, -0.377166748046875, -0.023417973890900612, -0.5731207728385925, -0.006137254647910595
133178.92816062502, -0.910125732421875, -0.055084228515625, -0.35955810546875, -0.0068022459745407104, -0.5715676546096802, 0.016814133152365685
133178.938223625, -0.9069061279296875, -0.06317138671875, -0.3476715087890625, 0.02082831598818302, -0.6056315898895264, 0.02749340981245041
133178.948286625, -0.9192962646484375, -0.0568695068359375, -0.3506927490234375, 0.032995499670505524, -0.6461374759674072, 0.03814179450273514
133178.958349625, -0.9254150390625, -0.0504302978515625, -0.346466064453125, 0.023919980973005295, -0.6806560158729553, 0.03736601397395134
133178.96841262502, -0.9176025390625, -0.0603179931640625, -0.336578369140625, 0.012627644464373589, -0.7118174433708191, 0.02652987837791443
133178.97847562502, -0.9055023193359375, -0.0514678955078125, -0.3397369384765625, -0.0007771103992126882, -0.6929494738578796, 0.02052391692996025
133178.988538625, -0.9086761474609375, -0.04632568359375, -0.345611572265625, -0.03003326617181301, -0.638979971408844, 0.01792866736650467
133178.998601625, -0.9026947021484375, -0.050811767578125, -0.3318634033203125, -0.06740913540124893, -0.5743240118026733, 0.029620209708809853
133179.008664625, -0.8959197998046875, -0.0518798828125, -0.3258514404296875, -0.09183724224567413, -0.5176652669906616, 0.027280623093247414
133179.01872762502, -0.907318115234375, -0.050384521484375, -0.3318634033203125, -0.10517328977584839, -0.4595574736595154, 0.02430347539484501
133179.02879062502, -0.921173095703125, -0.0516510009765625, -0.3258819580078125, -0.11107831448316574, -0.4310515224933624, 0.02576128952205181
133179.038853625, -0.919677734375, -0.0528717041015625, -0.2996673583984375, -0.13014096021652222, -0.40616747736930847, 0.029769612476229668
133179.048916625, -0.920440673828125, -0.0583343505859375, -0.283660888671875, -0.1379338949918747, -0.37622395157814026, 0.023155121132731438
133179.058980625, -0.9287567138671875, -0.0535125732421875, -0.2708892822265625, -0.1525125801563263, -0.3937230706214905, 0.02485474944114685
133179.069043625, -0.9382781982421875, -0.05609130859375, -0.248321533203125, -0.18044354021549225, -0.42875054478645325, 0.018424279987812042
133179.079106625, -0.93560791015625, -0.0530242919921875, -0.2444305419921875, -0.19474658370018005, -0.4379960000514984, 0.026608973741531372
133179.08916962502, -0.92645263671875, -0.0482177734375, -0.26513671875, -0.1927098035812378, -0.3977641463279724, 0.026936275884509087
133179.099232625, -0.9246063232421875, -0.0449676513671875, -0.28192138671875, -0.1832747459411621, -0.34828847646713257, 0.0367143377661705
133179.109295625, -0.924591064453125, -0.0462188720703125, -0.277191162109375, -0.18612726032733917, -0.31656941771507263, 0.03759691119194031
133179.119358625, -0.93072509765625, -0.049774169921875, -0.2606658935546875, -0.1919175088405609, -0.3006269335746765, 0.03997378051280975
133179.129421625, -0.9319610595703125, -0.0452423095703125, -0.2478790283203125, -0.1973695307970047, -0.28141888976097107, 0.0487947016954422
