timestamp, frame, x, y, z, qx, qy, qz, qw, fx, fy, cx, cy, distortion_center_x, distortion_center_y
133179.341516416, 000031, 0.13736095, 0.22625813, 0.20584299, 0.57440835, -0.09255146, 0.8116497, 0.052095056, 1437.1984, 1437.1984, 961.70276, 725.87115, , 
133179.358188666, 000032, 0.13713372, 0.22737737, 0.2056347, 0.57640344, -0.08992864, 0.81058294, 0.05125621, 1437.2211, 1437.2211, 961.7005, 725.90015, , 
133179.374860708, 000033, 0.13724384, 0.2284243, 0.20543012, 0.57881, -0.08694513, 0.809258, 0.050209817, 1437.1255, 1437.1255, 961.68915, 725.9349, , 
133179.391533, 000034, 0.13761532, 0.22944908, 0.20523389, 0.5812375, -0.08370024, 0.8079266, 0.049110156, 1437.1562, 1437.1562, 961.69745, 725.93475, , 
133179.408204875, 000035, 0.13823873, 0.2304494, 0.2050361, 0.5834378, -0.08029651, 0.80674, 0.0481997, 1437.2059, 1437.2059, 961.63116, 725.94244, , 
133179.42487725, 000036, 0.13911313, 0.23143199, 0.20483525, 0.5856009, -0.07668435, 0.8055789, 0.047262423, 1437.2479, 1437.2479, 961.6312, 725.91425, , 
133179.44154925, 000037, 0.13993666, 0.23258266, 0.20478065, 0.58813494, -0.07254832, 0.80419046, 0.04595203, 1437.2135, 1437.2135, 961.64484, 725.98413, , 
133179.458221375, 000038, 0.141031, 0.23360205, 0.20470087, 0.59105575, -0.06795076, 0.802546, 0.04422185, 1437.0643, 1437.0643, 961.63574, 725.9919, , 
133179.474893458, 000039, 0.14256257, 0.23445109, 0.20461588, 0.5937069, -0.06309875, 0.8010885, 0.04228364, 1437.0491, 1437.0491, 961.63763, 725.9766, , 
133179.491565625, 000040, 0.14456865, 0.23517713, 0.2046497, 0.59547025, -0.0589846, 0.8001536, 0.041112226, 1437.1025, 1437.1025, 961.6451, 725.98065, , 
133179.508237791, 000041, 0.1470488, 0.2357792, 0.20483895, 0.5961256, -0.056384474, 0.79984057, 0.04135184, 1437.2861, 1437.2861, 961.64636, 726.0459, , 
133179.524909875, 000042, 0.14990285, 0.23627509, 0.2051541, 0.5960438, -0.05496307, 0.79993737, 0.04255428, 1437.4047, 1437.4047, 961.6823, 726.03284, , 
133179.541582, 000043, 0.15209112, 0.23750773, 0.20555374, 0.59586716, -0.05368356, 0.80006754, 0.044184145, 1437.3666, 1437.3666, 961.65045, 726.0545, , 
133179.558254166, 000044, 0.15458095, 0.23848973, 0.205903, 0.59603995, -0.051234994, 0.8000581, 0.044923767, 1437.3512, 1437.3512, 961.58887, 726.0464, , 
133179.574926291, 000045, 0.1575283, 0.23914072, 0.20616612, 0.59588075, -0.046468526, 0.8005611, 0.043229174, 1436.9994, 1436.9994, 961.6033, 726.07153, , 
133179.591598458, 000046, 0.1607756, 0.23970777, 0.20636293, 0.5947188, -0.04063032, 0.8018976, 0.040237024, 1437.1371, 1437.1371, 961.6009, 726.1118, , 
133179.608270541, 000047, 0.16427016, 0.24030156, 0.20653872, 0.5930386, -0.034813106, 0.8035797, 0.036779903, 1437.2976, 1437.2976, 961.6037, 726.0906, , 
133179.62494275, 000048, 0.16789243, 0.24095006, 0.2066902, 0.5917553, -0.029880712, 0.8048657, 0.033526633, 1437.2441, 1437.2441, 961.6138, 726.105, , 
133179.641614875, 000049, 0.17124945, 0.2421616, 0.20715499, 0.59137416, -0.026728388, 0.8053472, 0.03127327, 1437.1715, 1437.1715, 961.5893, 726.0803, , 
133179.658287, 000050, 0.17477718, 0.24331217, 0.20750986, 0.59176844, -0.025515046, 0.80511665, 0.030763632, 1437.1332, 1437.1332, 961.59644, 726.13477, , 
133179.674958958, 000051, 0.17858452, 0.244279, 0.20771861, 0.59230125, -0.026056638, 0.8046674, 0.031787585, 1437.3322, 1437.3322, 961.59393, 726.1637, , 
133179.691631208, 000052, 0.1825029, 0.24526212, 0.20792404, 0.59250355, -0.0265696, 0.80447555, 0.03244386, 1437.1371, 1437.1371, 961.5323, 726.12366, , 
133179.708303208, 000053, 0.18651518, 0.24625576, 0.20817244, 0.59218717, -0.026670694, 0.80469877, 0.032603353, 1437.267, 1437.267, 961.54034, 726.15247, , 
133179.724975583, 000054, 0.19057311, 0.24724251, 0.20842618, 0.59172124, -0.026676707, 0.8050479, 0.03243423, 1437.267, 1437.267, 961.54285, 726.2248, , 
133179.741647541, 000055, 0.19438192, 0.24845974, 0.20897093, 0.59161454, -0.027114414, 0.8051169, 0.032308504, 1437.1753, 1437.1753, 961.5659, 726.2217, , 
